"","year","inflation_pct","debt_gdp_pct","gdp_growth_pct","gdp_usd","unemployment_pct","exports_gdp_pct","imports_gdp_pct","population_total","broad_money_pct","total_reserve_usd","gni_usd","altas_conversation_factor","urban_pop_pct","life_expectancy","net_enrol_primary","net_enrol_secondary","enrol_tertiary_gross","fertility_rate","pop_growth_pct"
"year",1,-0.0932514278828732,-0.033180243045598,-0.155814040461989,0.114268617979842,0.0288851890134089,-0.0768697326000957,-0.0769953216287499,0.0667381671527954,0.0427339217999251,0.249338771901791,0.133047764398506,0.0459883845325654,0.0706018234739443,0.139326802445243,-0.0367677033543464,0.215156825007919,0.340261825509446,-0.182800586776467,-0.096735590862203
"inflation_pct",-0.0932514278828732,1,-0.0864017730274535,0.0206724778478918,-0.0959260007137274,0.00540238452814825,0.00647503271722127,0.090384695174392,0.0379651443392359,-0.340391160352301,-0.152434405600644,-0.0756635153336336,0.0250518526133105,-0.101897202733129,-0.289130079903345,-0.125737408117527,-0.00385237576140713,0.0557862923516605,0.0362852005719587,-0.108252214877663
"debt_gdp_pct",-0.033180243045598,-0.0864017730274535,1,-0.13324293590014,0.225632169456212,0.059135437453023,-0.0519815370035365,-0.0349383832218903,0.0551576319950044,0.196842830936832,-0.0439366696490453,0.192194004721385,-0.0193801981174827,0.233171416368699,0.254268046283124,0.141142892309833,0.106553273190582,0.0479152720382172,-0.0136290388173327,0.0403267409698354
"gdp_growth_pct",-0.155814040461989,0.0206724778478918,-0.13324293590014,1,-0.0818234217640758,-0.0636447822815564,0.0682074301049349,0.165450192735319,-0.0117353372664995,-0.0844578834758535,-0.144215459546299,-0.075435729523985,0.0497475768394496,-0.179163072850238,-0.143985297320201,-0.117315889406838,-0.155868629143614,-0.2513456502659,0.228272654690218,0.219607732422846
"gdp_usd",0.114268617979842,-0.0959260007137274,0.225632169456212,-0.0818234217640758,1,-0.0680829701392417,-0.245991511378772,-0.318159373120552,0.507413141814221,0.182989865879853,0.512770547447457,0.988358662766704,-0.023496265342664,0.181483408786979,0.18902566735056,0.106905198329646,0.17789615292036,0.280401450317728,-0.108762671476242,-0.0152152631747615
"unemployment_pct",0.0288851890134089,0.00540238452814825,0.059135437453023,-0.0636447822815564,-0.0680829701392417,1,-0.196549166651293,0.0097824252061924,-0.0281854183818758,-0.152030883305055,-0.150761465829471,-0.0688998801290002,0.0263485657511153,-0.0648129574111928,-0.265076715261871,-0.0564225444547766,0.0165062529016726,-0.090650685715909,0.0418692168107597,-0.226071522754894
"exports_gdp_pct",-0.0768697326000957,0.00647503271722127,-0.0519815370035365,0.0682074301049349,-0.245991511378772,-0.196549166651293,1,0.807245846259776,-0.240858689999063,0.267356238908283,0.0150191816891654,-0.249566281568317,-0.173380328826235,0.063531119253537,0.120582010456798,0.071128253393452,0.180701822634594,0.0497860381976486,-0.150972653345313,0.0901937964919313
"imports_gdp_pct",-0.0769953216287499,0.090384695174392,-0.0349383832218903,0.165450192735319,-0.318159373120552,0.0097824252061924,0.807245846259776,1,-0.327624329865056,0.0970118489516957,-0.183203520628473,-0.33401417481437,-0.256551579254085,-0.223842975649187,-0.229779088085302,-0.162855960566878,-0.0650474997311233,-0.159399797969765,0.0479656086497402,0.0231973215155239
"population_total",0.0667381671527954,0.0379651443392359,0.0551576319950044,-0.0117353372664995,0.507413141814221,-0.0281854183818758,-0.240858689999063,-0.327624329865056,1,0.0699556414339504,0.434468739897876,0.612761567789237,0.185736504656141,-0.0377378308837016,-0.0442297593432176,0.0325567120947842,-0.0403493208272717,0.0447206161891767,0.0113866024301984,0.0353786003941126
"broad_money_pct",0.0427339217999251,-0.340391160352301,0.196842830936832,-0.0844578834758535,0.182989865879853,-0.152030883305055,0.267356238908283,0.0970118489516957,0.0699556414339504,1,0.511912116690459,0.163490116489216,-0.109507778804962,0.298996360865582,0.520296409281078,0.288205479150614,0.17560336567356,0.147704490582803,-0.160847754370552,0.193599786775563
